标题,题目名称,问题描述,输入描述,输出描述,提示说明,样例输入,样例输出,通过率,Submit,题目URL,题目列表URL,补题传送门URL,补题题目URL
24-25(1)第1次线上赛,4：元音字母辅音字母,"英文中的元音字母是A、E、I、O、U（大小写都算），辅音字母是其它21个英文字母（大小写都算）。
输入一个字符，判断这个字符是大写元音字母、小写元音字母、大写辅音字母、小写辅音字母，还是别的字符？",一个字符,"如果字符是大写元音字母，那么输出Upper vowel
如果字符是小写元音字母，那么输出Lower vowel
如果字符是大写辅音字母，那么输出Upper consonant

如果字符是小写辅音字母，那么输出Lower consonant
如果不是上述情况，那么输出Other
输出后不要换行。

",,T,Upper consonant,45.99%,574,https://www.xujcoj.com/home/contest/1808/problem/4,https://www.xujcoj.com/home/contest/1808/problem,https://www.xujcoj.com/home/problem?keyword3=1808,https://www.xujcoj.com/home/problem/detail/4824
24-25(1)第1次线上赛,5：结果为0,"输入4个整数，不调整这4个数的顺序，在这4个数的两两之间添加加号或者减号（一共添加了3个符号），希望能够让组成的计算表达式的结果为0。
问：有没有这种可能性？
注意：如果一个数是负数，在组成计算表达式时，会在这个负数的两边添加上括号()，以保证符合数学上写表达式的规范。",4个整数,"如果有可能计算出0，那么输出Yes，否则输出No。
输出后不要换行。",4+(-6)+3-1,4 -6 3 1,Yes,41.65%,413,https://www.xujcoj.com/home/contest/1808/problem/5,https://www.xujcoj.com/home/contest/1808/problem,https://www.xujcoj.com/home/problem?keyword3=1808,https://www.xujcoj.com/home/problem/detail/4825
23-24(2)第5次线上赛,2：字符串的截取,"给你一个字符串$$a$$，你需要从$$a$$中截取一段字符使得剩下的字符全部相同，请问你有多少种截法？（可以截完，但不能不截）
认为两种截取方法是不同的，当且仅当截取的首位置不同或末位置不同。","第一行是一个正整数$$T$$代表测试案例的数量。（$$1 \le T \le 100$$）
每组案例是一个仅包含小写字母且长度不超过$$20$$的字符串$$a$$。
保证$$a$$中的字符不会全部相等。",针对每组案例，在一行中输出有多少种满足题意的截取方法。,"在第一组案例中，你可以截取 ab、aba、abaa、b、ba、baa。
在第二组案例中，你可以截取 aacd、aacde、aacdee、aacdeee、cdeee、acdeee。
在第三组案例中，你可以截取 a、b、ab。","3
abaa
aacdeee
ab","6
6
3",48.72%,39,https://www.xujcoj.com/home/contest/1732/problem/2,https://www.xujcoj.com/home/contest/1732/problem,https://www.xujcoj.com/home/problem?keyword3=1732,https://www.xujcoj.com/home/problem/detail/2127
23-24(2)第5次线上赛,4：幻方,"幻方（Magic Square）是一种将数字安排在正方形格子中，使每行、列和对角线上的数字和都相等的方法。
现在给你一个$$n \times n$$的空方阵，你需要在这个方阵中填入$$1-n \times n$$的数字各一次使得这个方阵满足幻方。","第一行是一个正整数$$T$$代表测试案例的数量。($$1 \le T \le 25$$)
每组案例包含一个奇数$$n$$。($$1 \le n \le 25$$)","针对每组案例，输出一个$$n$$行$$n$$列的方阵。
输出时，每行最后一个数字后面没有空格，每行输出结束以后都要换行。
如果有多种填法满足幻方，输出任意一种即可。",,"2
1
3","1
8 1 6
3 5 7
4 9 2",55.17%,58,https://www.xujcoj.com/home/contest/1732/problem/4,https://www.xujcoj.com/home/contest/1732/problem,https://www.xujcoj.com/home/problem?keyword3=1732,https://www.xujcoj.com/home/problem/detail/2653
23-24(2)第5次线上赛,6：ovo和他的汉堡店-3,"ovo 汉堡店又上新品了，如下：
• $$2$$片面包 +$$1$$片鸡肉 = 普通汉堡，售价$$x$$元
• $$3$$片面包 +$$2$$片鸡肉 = 超级汉堡，售价$$y$$元
ovo 准备了$$a$$片面包和$$b$$片鸡肉，问：这些材料最多可以卖出多少钱。","第一行是一个正整数$$T$$表示测试案例的数量。（$$1 \le T \le 20000$$）
每组案例包含$$4$$个不大于$$100$$的正整数$$a、b、x、y$$含义如描述。",针对每组样例，输出 ovo 最多可以卖出的钱，然后换行。,,"2
5 3 4 6
6 4 5 8","10
16",41.38%,29,https://www.xujcoj.com/home/contest/1732/problem/6,https://www.xujcoj.com/home/contest/1732/problem,https://www.xujcoj.com/home/problem?keyword3=1732,
23-24(2)第4次线上赛,1：字符串重排,请你输出两个字符串$$s$$和$$t$$能否通过重排字符使得$$s=t$$。,"第一行是一个正整数$$T$$表示测试案例的数量。（$$1 \leq T \leq 100$$）
每组案例包含两个字符串$$s$$和$$t$$，保证两个字符串长度均不超过$$100$$且仅包含小写字符。",针对每组案例，输出YES如果可以，否则输出NO。,,"2
abc cba
abb baa","YES
NO",60.78%,204,https://www.xujcoj.com/home/contest/1716/problem/1,https://www.xujcoj.com/home/contest/1716/problem,https://www.xujcoj.com/home/problem?keyword3=1716,https://www.xujcoj.com/home/problem/detail/1866
23-24(2)第3次线上赛,5：异画师的技能组合,"异画师是英雄联盟技能组合最为全面的英雄，其技能分为 Q（灾系）W（靖系）E（悚系）R（终极技能）四种。
为了方便描述，我们把 QWE 三系技能称为小技能，R 称为大招。
异画师每次施放小技能前需要先按下 QWE 中的一个，表示准备施放该系的技能，我们将这种状态称为准备就绪阶段。
异画师在准备就绪阶段时，可以再次按下 QWE 中的一个进行技能的施放。
例如：异画师先按下 Q 进入准备就绪阶段，接着再按下 W 施放了灾系的 W 技能，我们把这个技能组合称为 QW。
我们不难发现异画师的小技能总共有：QQ、QW、QE、WQ、WW、WE、EQ、EW、EE 这九种。
接下来介绍异画师的 R（终极技能），其有两个作用：
1、在准备就绪阶段时按下 R 会取消准备就绪状态
2、非准备就绪阶段时按下 R 会施放终极技能
例如：异画师先按下 Q 进入准备就绪阶段，接着再按下 R 取消准备就绪状态，然后按下 W 再次进入准备就绪阶段，最后按下 E 施放了技能组合 WE。
我们假设技能没有冷却时间，异画师的九种小技能及大招分别会对战局产生一定的影响，现在给一个按键序列，请你输出异画师对战局造成的影响之和。","第一行$$10$$个不大于$$1000$$的正整数分别表示 QQ、QW、QE、WQ、WW、WE、EQ、EW、EE、R 对战局产生的影响。
第二行是一个长度不超过$$10^5$$的字符串表示按键序列，保证这个字符串仅由大写字母$$\text{QWER}$$组成。",在一行中输出异画师对战局造成的影响之和。,在样例中，异画师分别施放了 QQ、WQ、R、EW 这四个技能，共造成$$1+4+10+8=23$$的影响。,"1 2 3 4 5 6 7 8 9 10
QQERWQREW",23,68.18%,22,https://www.xujcoj.com/home/contest/1709/problem/5,https://www.xujcoj.com/home/contest/1709/problem,https://www.xujcoj.com/home/problem?keyword3=1709,https://www.xujcoj.com/home/problem/detail/2493
23-24(2)第1次线上赛,1：打卡时间,"某企业规定了上班打卡时间，例如0830，表示上班打卡时间是08:30。
现在有某位员工一周5天的打卡时间，例如某天是0826，表示该员工那天的打卡时间是08:26，比规定的打卡时间早，没有迟到；如果某天是0832，表示该员工那天的打卡时间是08:32，迟到了2分钟。
统计一下该员工这5天时间里，一共迟到了几分钟。","第一行是一个4位整数，表示企业规定的上班打卡时间，其中前两位是小时，后两位是分钟。
第二行有5个4位整数，表示员工从星期一到星期五的打卡时间，每个整数的前两位是小时，后两位是分钟。","一个整数，表示一共迟到了几分钟。
不要换行。",,"0830
0826 0832 0800 0900 0820",32,50.46%,329,https://www.xujcoj.com/home/contest/1635/problem/1,https://www.xujcoj.com/home/contest/1635/problem,https://www.xujcoj.com/home/problem?keyword3=1635,https://www.xujcoj.com/home/problem/detail/4446
23-24(2)第1次线上赛,2：最小的平方和,"有偶数个正整数a
1
、a
2
、a
3
、...、a
m
（即m是偶数），现在把这些数字两两相加，生成m/2个正整数。这m/2个正整数的平方和的最小值是多少？","这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=100）
每组案例先是一个正偶数m，（m<=1000）
然后是m个正整数a
1
、a
2
、a
3
、...、a
m
。（均不大于10000）","针对每组案例，输出一个长整数，表示【问题描述】要求计算的最小值。
每组案例输出完都要换行。","如果是2和3组合，1和5组合，构成两个数字5和6，5平方+6平方=61；
如果是2和5组合，1和3组合，构成两个数字7和4，平方和是65；
如果是2和1组合，5和3组合，构成两个数字3和8，平方和是73。
所有组合方案中，平方和最小值是61。","1
4
2 1 5 3",61,40.00%,175,https://www.xujcoj.com/home/contest/1635/problem/2,https://www.xujcoj.com/home/contest/1635/problem,https://www.xujcoj.com/home/problem?keyword3=1635,https://www.xujcoj.com/home/problem/detail/4447
23-24(2)第1次线上赛,3：英文字母,"有一段很长的英文文字，只含有大写字母和小写字母，没有空格或者其他字符。
问这段英文文字中是否包含所有26个英文字母（大小写字母都可以）？","这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=100）
每组案例有一段英文字母组成的字符串。（字符串长度不超过1000）","针对每组案例，如果字符串里包含所有26个英文字母，则输出Yes，否则输出No。
每组案例输出完都要换行。",,"2
efgABCDHIJKLMNOPQWRSTUVWXYZabc
abcd","Yes
No",51.88%,239,https://www.xujcoj.com/home/contest/1635/problem/3,https://www.xujcoj.com/home/contest/1635/problem,https://www.xujcoj.com/home/problem?keyword3=1635,https://www.xujcoj.com/home/problem/detail/4448
23-24(2)第1次线上赛,4：防空覆盖网,"在一个a行b列的方格地图上有n门防空炮，每门防空炮由于型号不同，拥有各自的射程。当射程为p时，表示该防空炮能火力覆盖距离自身小于等于p范围的所有方格。
定义方格坐标(x1, y1)到(x2, y2)的距离是|x1-x2|+|y1-y2|，其中| |是数学上的绝对值运算。
由于飞机的速度很快，某个格子需要在至少m门防空炮的火力覆盖范围内，才能称为安全的格子。
求安全格子的数量。","只有一组案例。
第一行是四个正整数a、b、n、m，表示地图是a行b列的，一共有n门防空炮，安全格子至少需要m门防空炮的火力覆盖。（a<=50，b<=50，n<=100000，m<=50000）
接下来是n行数据，每行数据由三个正整数x、y、p组成，代表一门防空炮的数据，表示该防空炮的坐标是(x, y)，即位于第x行第y列（地图的左上角称为第1行第1列），射程是p。（1<=x<=a，1<=y<=b，p<=50）","一个整数，表示地图中安全格子的数量。
不要换行。",图中黄色的格子是安全的，一共7格。灰色的格子只有1门防空炮火力覆盖，白色的格子没有火力覆盖。,"3 4 3 2
2 3 1
2 3 2
3 1 1",7,51.16%,43,https://www.xujcoj.com/home/contest/1635/problem/4,https://www.xujcoj.com/home/contest/1635/problem,https://www.xujcoj.com/home/problem?keyword3=1635,https://www.xujcoj.com/home/problem/detail/4456
23-24(2)第1次线上赛,6：姓名和成绩,"在一行的输入信息中，包括了姓名和成绩，其中姓名中可能包含若干个空格字符，把姓名分割成了若干个小段，成绩是一个浮点数形式。
要求在输出姓名成绩时，把姓名中的空格都去掉，同时每个由空格分隔的小段都要遵循首字母大写、其他字母小写的原则。","这是一道多组案例的题目。一个正整数n，表示案例的数量。
每组案例是一行输入信息，信息内容见【问题描述】的第一行。（字符串长度不会超过100，姓名部分只会有大写字母、小写字母、空格字符）","针对每组案例，输出一行信息，先是遵循【问题描述】第二行原则的姓名，然后是一个空格字符，最后是成绩。
每组案例输出完都要换行。",,"2
joseph      robinette   biden 59.5
doNALD trUMP 80","JosephRobinetteBiden 59.5
DonaldTrump 80",40.70%,86,https://www.xujcoj.com/home/contest/1635/problem/6,https://www.xujcoj.com/home/contest/1635/problem,https://www.xujcoj.com/home/problem?keyword3=1635,https://www.xujcoj.com/home/problem/detail/4499
23-24(1)第8次线上赛,1：删除一些字符,"给出字符串$$str$$并删除其中所有$$ASCII$$码介于$$[L,R]$$的字符，然后输出$$str$$。","第一行是一个正整数$$T$$代表测试案例的数量。（$$1 \leq T \leq 100$$）
每组案例包含一个字符串$$str$$和两个整数$$L,R$$含义见描述。（$$0 \leq L \leq R \leq 127$$）
保证字符串$$str$$仅由大小写字母和数字组成且长度在$$1-100$$之间。",针对每组案例，输出删除指定字符后的$$str$$。,,"2
abc 97 98
abc 65 90","c
abc",60.49%,162,https://www.xujcoj.com/home/contest/1622/problem/1,https://www.xujcoj.com/home/contest/1622/problem,https://www.xujcoj.com/home/problem?keyword3=1622,https://www.xujcoj.com/home/problem/detail/2553
